CS:EIP     	Symbol + Offset                                                                                                                                                                                                                                                     	64-bit 	CPU clocks 	IPC  	DC miss rate 	DTLB L1M L2M rate 	Misalign rate 	Mispredict rate 	
0x230c8a00 	IUnitEntity::UpdateModifiers                                                                                                                                                                                                                                        	       	370        	1.36 	0.00         	0                 	0             	0.01            	
0x230cb490 	IUnitEntity::ServerFrameCleanup                                                                                                                                                                                                                                     	       	248        	0.58 	0.03         	0.00              	0             	0.01            	
0x23019ee0 	IUnitEntity::GetMaxHealth                                                                                                                                                                                                                                           	       	248        	1.05 	0.00         	0                 	0             	0.01            	
0x230cd640 	IUnitEntity::ServerFrameSetup                                                                                                                                                                                                                                       	       	247        	0.74 	0.01         	0                 	0             	0.00            	
0x230d7eb0 	CVisibilityMap::AddVision                                                                                                                                                                                                                                           	       	229        	1.25 	0.00         	0                 	0             	0.01            	
0x230e8ad0 	CBrain::FrameThink                                                                                                                                                                                                                                                  	       	159        	0.15 	0.01         	0                 	0             	0.01            	
0x23010e60 	IUnitEntity::GetMaxMana                                                                                                                                                                                                                                             	       	134        	1.02 	0            	0                 	0             	0.01            	
0x2300bc10 	IUnitEntity::GetStashAccess                                                                                                                                                                                                                                         	       	109        	1.12 	0.01         	0                 	0             	0               	
0x230111a0 	IUnitEntity::GetBaseMaxHealth                                                                                                                                                                                                                                       	       	105        	0.93 	0.00         	0                 	0.01          	0.01            	
0x23010640 	IUnitEntity::GetMoveSpeed                                                                                                                                                                                                                                           	       	100        	1.04 	0.00         	0                 	0             	0.00            	
0x23010f90 	IUnitEntity::GetHealthRegen                                                                                                                                                                                                                                         	       	96         	0.91 	0            	0                 	0.01          	0.01            	
0x230e8530 	CBrain::FrameMovement                                                                                                                                                                                                                                               	       	93         	0.15 	0.14         	0.03              	0             	0.01            	
0x230e84a0 	CBrain::FrameAction                                                                                                                                                                                                                                                 	       	90         	0.28 	0.08         	0.01              	0             	0.01            	
0x230bdc80 	IVisualEntity::ServerFrameMovementEnd                                                                                                                                                                                                                               	       	83         	0.22 	0.17         	0.01              	0             	0.01            	
0x23010c50 	IUnitEntity::GetManaRegen                                                                                                                                                                                                                                           	       	78         	1.10 	0            	0                 	0.00          	0.01            	
0x23010d30 	IUnitEntity::GetManaRegenMultiplier                                                                                                                                                                                                                                 	       	76         	1.09 	0            	0                 	0             	0.01            	
0x230c2570 	IUnitEntity::GetSnapshot                                                                                                                                                                                                                                            	       	75         	0.73 	0.02         	0                 	0             	0               	
0x23011070 	IUnitEntity::GetHealthRegenMultiplier                                                                                                                                                                                                                               	       	74         	1.26 	0            	0                 	0             	0.02            	
0x230ea1b0 	ICreepEntity::ServerFrameThink                                                                                                                                                                                                                                      	       	71         	0.24 	0.02         	0                 	0             	0.01            	
0x230c53a0 	IUnitEntity::ServerFrameMovement                                                                                                                                                                                                                                    	       	62         	0.26 	0.17         	0                 	0             	0               	
0x23013870 	std::_Tree<std::_Tmap_traits<unsigned short,IEntityAllocator *,std::less<unsigned short>,std::allocator<std::pair<unsigned short const ,IEntityAllocator *> >,0> >::find                                                                                            	       	61         	0.93 	0.00         	0.00              	0             	0               	
0x230eea60 	CLane::GetNextWaypoint                                                                                                                                                                                                                                              	       	60         	0.62 	0.01         	0                 	0             	0.01            	
0x230e62e0 	IBehavior::GetMovement                                                                                                                                                                                                                                              	       	51         	0.33 	0.04         	0                 	0             	0.03            	
0x230115e0 	IUnitEntity::GetLevel                                                                                                                                                                                                                                               	       	49         	0.37 	0.02         	0                 	0             	0.03            	
0x230e7fa0 	CBrain::AttemptActionState                                                                                                                                                                                                                                          	       	45         	0.51 	0.03         	0                 	0             	0.01            	
0x23093790 	IEntityDefinition::GetModifiedDefinition                                                                                                                                                                                                                            	       	45         	0.76 	0.01         	0                 	0             	0               	
0x230104b0 	IUnitEntity::GetAttackRangeMultiplier                                                                                                                                                                                                                               	       	44         	0.68 	0            	0                 	0             	0.02            	
0x23011290 	IUnitDefinition::GetMaxHealth                                                                                                                                                                                                                                       	       	43         	0.47 	0.00         	0                 	0.08          	0.00            	
0x230bff40 	IUnitEntity::GetStealthBits                                                                                                                                                                                                                                         	       	39         	1.28 	0            	0                 	0             	0               	
0x23010790 	IUnitEntity::GetMoveSpeedMultiplier                                                                                                                                                                                                                                 	       	39         	0.85 	0            	0                 	0             	0.02            	
0x2301a640 	IUnitDefinition::GetModel                                                                                                                                                                                                                                           	       	38         	0.45 	0.04         	0.01              	0             	0.02            	
0x2301db00 	CEntitySnapshot::WriteAngle8                                                                                                                                                                                                                                        	       	36         	0.58 	0.00         	0                 	0             	0.02            	
0x23019c00 	IUnitDefinition::GetIsMobile                                                                                                                                                                                                                                        	       	36         	0.11 	0.08         	0.03              	0             	0               	
