CS:EIP     	Symbol + Offset                                                                                                                                                                                                                                                     	64-bit 	CPU clocks 	IPC  	DC miss rate 	DTLB L1M L2M rate 	Misalign rate 	Mispredict rate 	
0x15139ee0 	CWorldTree::IntersectMovingBoundsWithWorld                                                                                                                                                                                                                          	       	1312       	0.67 	0.07         	0.00              	0             	0.01            	
0x151b9e80 	CEntitySnapshot::DiffFrom                                                                                                                                                                                                                                           	       	1100       	1.34 	0.00         	0.00              	0             	0.01            	
0x15211580 	I_MovingBoundsBoundsIntersect                                                                                                                                                                                                                                       	       	1073       	1.00 	0.02         	0.00              	0             	0.01            	
0x150403b0 	IBuffer::CompareBuffer                                                                                                                                                                                                                                              	       	668        	0.80 	0.01         	0.00              	0.00          	0.04            	
0x1503ff40 	CTransmitFlags<8>::WriteTransmitFlags2                                                                                                                                                                                                                              	       	664        	1.55 	0            	0                 	0             	0.01            	
0x15137e00 	CWorldTree::GetEntitiesInRegion                                                                                                                                                                                                                                     	       	564        	0.63 	0.01         	0                 	0             	0.02            	
0x151b9620 	CEntitySnapshot::WriteBuffer2                                                                                                                                                                                                                                       	       	524        	1.22 	0            	0                 	0             	0.01            	
0x151482b0 	COcclusionMap::GetRegion                                                                                                                                                                                                                                            	       	471        	0.85 	0.01         	0                 	0             	0.02            	
0x1501cd10 	IntersectBounds<float>                                                                                                                                                                                                                                              	       	447        	1.20 	0.02         	0.00              	0             	0.00            	
0x151b9b50 	CEntitySnapshot::CalcSequence                                                                                                                                                                                                                                       	       	397        	1.11 	0.01         	0.00              	0             	0.01            	
0x15134da0 	CWorldTreeNode::UpdateBounds                                                                                                                                                                                                                                        	       	336        	0.96 	0.04         	0.00              	0             	0.00            	
0x151e5a80 	CBufferDynamic::Append                                                                                                                                                                                                                                              	       	334        	0.90 	0.01         	0.00              	0             	0.01            	
0x1500bc80 	CBufferDynamic::Advance                                                                                                                                                                                                                                             	       	318        	1.13 	0            	0                 	0.02          	0.00            	
0x151b82a0 	CSnapshot::WriteDiff2                                                                                                                                                                                                                                               	       	312        	1.21 	0.00         	0                 	0             	0.00            	
0x151f5860 	IResourceLibrary::Get                                                                                                                                                                                                                                               	       	220        	1.27 	0.00         	0.00              	0             	0.00            	
0x150654c0 	std::_Tree<std::_Tmap_traits<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,IEmitter *,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::allocator<std::pair<std::basic_string<char,std::char_traits<char 	       	213        	0.63 	0.01         	0.01              	0             	0.01            	
0x151b8ec0 	CEntitySnapshot::SetFieldTypes                                                                                                                                                                                                                                      	       	175        	1    	0.01         	0.00              	0             	0               	
0x15133650 	CNavGridZ::HalfSize                                                                                                                                                                                                                                                 	       	171        	1.59 	0.01         	0                 	0             	0.01            	
0x151e4d50 	CBufferBit::WriteBits                                                                                                                                                                                                                                               	       	142        	1.27 	0.00         	0                 	0             	0.01            	
0x151ad7f0 	CHostServer::Frame                                                                                                                                                                                                                                                  	       	127        	0.34 	0.03         	0.03              	0             	0.05            	
0x15137230 	CWorldTree::GetEntitiesInRadius                                                                                                                                                                                                                                     	       	127        	0.53 	0.01         	0.01              	0             	0.02            	
0x151f7df0 	CResourceManager::GetAnim                                                                                                                                                                                                                                           	       	101        	0.42 	0.03         	0.01              	0             	0.01            	
0x151e5600 	CBufferDynamic::Read                                                                                                                                                                                                                                                	       	94         	1.28 	0            	0                 	0             	0.01            	
0x151f7800 	CResourceManager::Get                                                                                                                                                                                                                                               	       	92         	1.27 	0.00         	0.00              	0             	0.01            	
0x151a6450 	CRasterBuffer::CalcVisibiltyOctant1                                                                                                                                                                                                                                 	       	88         	1.27 	0            	0                 	0             	0.01            	
0x151a62a0 	CRasterBuffer::CalcVisibiltyOctant2                                                                                                                                                                                                                                 	       	88         	0.99 	0            	0                 	0             	0.01            	
0x151e4cc0 	CBufferBit::WriteBit                                                                                                                                                                                                                                                	       	86         	1.09 	0            	0                 	0             	0.01            	
0x151f7650 	CResourceManager::GetLib                                                                                                                                                                                                                                            	       	85         	1.64 	0.00         	0                 	0             	0               	
0x151a5a50 	CRasterBuffer::CalcVisibiltyOctant7                                                                                                                                                                                                                                 	       	82         	1.01 	0            	0                 	0             	0.01            	
0x151a60f0 	CRasterBuffer::CalcVisibiltyOctant3                                                                                                                                                                                                                                 	       	77         	1.09 	0            	0                 	0             	0.02            	
0x151a5c00 	CRasterBuffer::CalcVisibiltyOctant6                                                                                                                                                                                                                                 	       	74         	1.07 	0            	0                 	0             	0.01            	
0x151a58b0 	CRasterBuffer::CalcVisibiltyOctant8                                                                                                                                                                                                                                 	       	74         	1.50 	0            	0                 	0             	0.01            	
0x151a5db0 	CRasterBuffer::CalcVisibiltyOctant5                                                                                                                                                                                                                                 	       	71         	1.49 	0            	0                 	0             	0.01            	
0x151b8f40 	CEntitySnapshot::operator=                                                                                                                                                                                                                                          	       	70         	0.53 	0.04         	0.00              	0             	0               	
0x151a5f50 	CRasterBuffer::CalcVisibiltyOctant4                                                                                                                                                                                                                                 	       	63         	1.35 	0            	0                 	0             	0.01            	
0x151f7960 	CResourceManager::Get                                                                                                                                                                                                                                               	       	59         	0.88 	0.01         	0                 	0             	0.01            	
0x15079d10 	CNavigationGraph::AStarFromDst                                                                                                                                                                                                                                      	       	58         	0.79 	0            	0                 	0             	0.01            	
0x151aafe0 	CHostServer::UpdateStateStrings                                                                                                                                                                                                                                     	       	57         	0.54 	0.01         	0.01              	0             	0.01            	
0x152104e0 	I_SphereBoundsIntersect                                                                                                                                                                                                                                             	       	56         	0.61 	0.02         	0                 	0             	0.01            	
0x15181730 	CSocket::CheckOutOfSequencePacket                                                                                                                                                                                                                                   	       	56         	0.20 	0.15         	0.17              	0.13          	0               	
0x151565d0 	CK2Model::GetAnim                                                                                                                                                                                                                                                   	       	54         	0.72 	0.01         	0.00              	0             	0.04            	
0x1526c190 	CClientConnection::ReadClientSnapshot                                                                                                                                                                                                                               	       	53         	0.17 	0.11         	0.06              	0             	0.07            	
0x15336de0 	_aulldiv                                                                                                                                                                                                                                                            	       	52         	0.31 	0            	0                 	0             	0               	
0x15040540 	IBuffer::ReadShort                                                                                                                                                                                                                                                  	       	51         	0.88 	0.00         	0                 	0             	0.02            	
0x15134850 	CWorldTree::ResetWorkingTraceVars                                                                                                                                                                                                                                   	       	44         	0.77 	0.01         	0.00              	0             	0.02            	
0x1514b150 	CWorld::GetTerrainHeight                                                                                                                                                                                                                                            	       	42         	0.21 	0.06         	0.02              	0             	0.02            	
0x15032d50 	CWorldEntityList::GetEntity                                                                                                                                                                                                                                         	       	42         	0.64 	0.01         	0                 	0             	0               	
0x1500b9c0 	IBuffer::Clear                                                                                                                                                                                                                                                      	       	42         	0.95 	0.03         	0.03              	0             	0.00            	
0x151c1760 	FormatInt                                                                                                                                                                                                                                                           	       	41         	0.93 	0            	0                 	0             	0.01            	
0x15133600 	CNavGridZ::Merge                                                                                                                                                                                                                                                    	       	41         	1.17 	0.06         	0                 	0             	0               	
0x15115f60 	_chkstk                                                                                                                                                                                                                                                             	       	37         	0.32 	0.16         	0.08              	0             	0.01            	
0x15015050 	std::_Allocate<SExtents>                                                                                                                                                                                                                                            	       	35         	0.49 	0            	0.02              	0             	0.04            	
0x15040740 	CRecyclePool<CEntitySnapshot>::Free                                                                                                                                                                                                                                 	       	34         	0.79 	0.01         	0                 	0             	0               	
0x1526b220 	CClientConnection::WriteSnapshotFragments                                                                                                                                                                                                                           	       	33         	0.21 	0.13         	0.21              	0             	0.03            	
0x1520e3b0 	M_ClosestPointToSegment2d                                                                                                                                                                                                                                           	       	33         	0.52 	0            	0                 	0             	0               	
