CS:EIP,Symbol + Offset,64-bit,CPU clocks,IPC,DC miss rate,DTLB L1M L2M rate,Misalign rate,Mispredict rate,
"0x19068440","CClientEntity::AddToScene","","5205","0.37","0.04","0.01","0","0.01",
"0x19012e10","std::_Tree<std::_Tmap_traits<unsigned int,CHostClient *,std::less<unsigned int>,std::allocator<std::pair<unsigned int const ,CHostClient *> >,0> >::find","","3171","0.31","0.03","0.01","0","0.03",
"0x19044800","CGameInterfaceManager::UpdateActiveInventory","","1595","0.44","0.03","0","0","0.04",
"0x19067df0","CClientEntity::Interpolate","","1257","0.25","0.07","0.02","0","0",
"0x19062660","CGameClient::RenderWorldEntities","","975","0.26","0.07","0","0","0",
"0x19020420","CGameInterfaceManager::BuildMultiLevelBonusesString","","816","0.46","0.01","0","0","0.04",
"0x19063a10","CGameClient::ProcessSnapshot","","613","0.34","0.03","0.02","0","0.03",
"0x190034b0","IUnitEntity::IsFrozen","","579","0.85","0.01","0","0","0",
"0x19051e30","CGameClient::UpdateMinimap","","484","0.17","0.09","0.04","0","0.01",
"0x19041ce0","CGameInterfaceManager::UpdateLevelUp","","467","0.45","0.01","0","0","0.08",
"0x19071000","CClientEntityDirectory::GetEntity","","344","0.58","0.03","0","0","0.01",
"0x190305b0","CSmartGameUITrigger::Trigger","","325","0.16","0.08","0.01","0","0.04",
"0x19070d40","CClientEntityDirectory::PrepForSnapshot","","325","0.05","0.37","0.14","0","0.02",
"0x19014c60","std::operator==<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >","","281","0.41","0.02","0","0","0.02",
"0x1902b740","CGameInterfaceManager::BuildBonusesString","","224","0.06","0.12","0.01","0","0.08",
"0x1902e680","CGameInterfaceManager::BuildBonusesString","","200","0.25","0.01","0","0","0.05",
"0x1903d5a0","CSmartGameUITrigger::Trigger","","194","0.29","0.06","0","0","0.01",
"0x190129a0","std::_Mismatch<std::_Vector_const_iterator<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >,std::_Vector_const_iterator<std::basic_string<char,std::cha","","176","0.82","0","0","0","0.04",
"0x190663b0","CGameClient::ActiveFrame","","147","0.07","0.06","0.05","0","0.18",
"0x19048be0","CGameInterfaceManager::UpdateActiveUnit","","125","0.35","0.01","0","0.01","0.07",
"0x19001160","std::_Tree<std::_Tset_traits<unsigned int,std::less<unsigned int>,std::allocator<unsigned int>,0> >::find","","113","0.63","0.01","0","0","0.04",
"0x1901fa30","CSmartGameUITrigger::Trigger","","109","0.22","0.06","0.01","0","0.01",
"0x19071130","CClientEntityDirectory::PopulateScene","","100","0.57","0.04","0","0","0.05",
"0x1904b260","CGameInterfaceManager::Update","","74","0.16","0.03","0","0","0.03",
"0x190584b0","CGameClient::DrawAltInfo","","69","0.04","0.23","0.03","0","0.1",
"0x1904f2f0","CGameClient::AddSelectionRingToScene","","66","0.48","0","0","0","0.01",
"0x1904ecd0","CGameClient::GetServerTime","","59","0.36","0.02","0","0","0.02",
"0x19071e40","CClientEntityDirectory::CleanupEntities","","57","0.18","0.29","0.09","0","0.01",
"0x19003550","XtoS","","56","0.82","0","0","0","0.08",
"0x1904f620","CGameClient::DrawFogofWar","","54","0.11","0.12","0","0","0.05",
"0x19014920","XtoS","","53","1.11","0","0","0","0.03",
"0x1900dda0","CGameClient::GetLocalPlayer","","49","0.35","0.02","0.01","0","0",
"0x190590a0","CGameClient::IsEntitySelected","","47","1.32","0","0","0","0",
"0x1906e8b0","CClientCommander::Frame","","43","0.09","0","0.03","0","0.12",
"0x19004000","XtoS","","42","0.33","0","0","0","0.09",
"0x1904ae10","CGameInterfaceManager::UpdatePlayer","","40","0.17","0.04","0.01","0","0",
"0x190671b0","CGameClient::Frame","","39","0","0","0","0","0",
"0x19070c60","CClientEntityDirectory::Frame","","39","0.13","0.06","0.02","0","0.06",
"0x19033ea0","CGameInterfaceManager::UpdateActiveAttackModifiers","","38","0.45","0","0.01","0","0.03",
"0x1906d420","CClientCommander::UpdateCursorTrace","","36","0.14","0","0","0","0.08",
"0x19072260","CL_SetGamePointer","","35","0.03","0","0","0","0",
"0x19001fb0","_UItoS<unsigned int>","","34","0.35","0","0","0","0.03",
"0x190201b0","CSmartGameUITrigger::Trigger","","34","0.06","0.25","0","0","0",
"0x1903afe0","CGameInterfaceManager::UpdateScores","","33","0.85","0","0","0","0.02",
"0x19015830","std::_Tree<std::_Tmap_traits<unsigned int,CGameClient *,std::less<unsigned int>,std::allocator<std::pair<unsigned int const ,CGameClient *> >,0> >::find","","30","0.1","0","0.03","0","0.03",
"0x1906c820","CClientCommander::ValidateSelections","","30","0.17","0.06","0","0","0.02",
"0x1901fb80","CSmartGameUITrigger::Trigger","","29","0","0","0","0","0",
"0x1903f990","CGameInterfaceManager::UpdateHero","","29","0.45","0.01","0","0","0.05",
"0x1906c450","CClientCommander::UpdateHoverSelection","","28","0.21","0.07","0","0","0.02",
"0x19059060","CGameClient::IsEntityHoverSelected","","27","0.89","0","0","0","0.03",
"0x19051070","CGameClient::AddClientGameEffects","","25","0.04","0","0","0","0.1",
"0x19034700","CGameInterfaceManager::UpdateVoiceChat","","22","0.27","0","0","0","0.05",
"0x1903e370","CGameInterfaceManager::UpdateItemCursor","","22","0","0","0","0","0",
"0x190110f0","CSmartGameUITrigger::Trigger","","21","0.43","0","0","0","0",
"0x19038c80","CGameInterfaceManager::ProcessStatsRequest","","21","0","0","0","0","0",
"0x190017e0","std::_Uninit_fill_n<std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,unsigned int,std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > ","","20","0.5","0","0","0","0",
"0x1900fa10","IGame::GetTimeOfDay","","20","0.15","0.03","0","0","0.03",
"0x19011040","_ItoS<int>","","20","0.6","0","0","0","0",
"0x1901fab0","CSmartGameUITrigger::Trigger","","20","0","0","0","0","0",
"0x19051540","CGameClient::DrawPopupMessages","","20","0.05","0.1","0","0","0",
"0x19002fc0","std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::_Tidy","","19","0.11","0","0","0","0.25",
"0x1901fc30","CSmartGameUITrigger::Trigger","","19","0.05","0.1","0.1","0","0.1",
"0x1903dc80","CGameInterfaceManager::UpdateStash","","19","0.58","0","0","0","0.01",
"0x19002240","std::_Tree<std::_Tset_traits<unsigned int,std::less<unsigned int>,std::allocator<unsigned int>,0> >::_Erase","","18","0.11","0","0","0","0.05",
"0x19013f30","ISlaveDefinition::GetDebuffDurationMultiplier","","18","0.33","0","0","0","0",
"0x19014890","IGame::GetEffectTypeString","","18","0.56","0","0","0","0.03",
"0x190027d0","std::_Tree<std::_Tset_traits<IUnitEntity *,std::less<IUnitEntity *>,std::allocator<IUnitEntity *>,0> >::clear","","16","0","0","0","0","0",
