CS:EIP,Symbol + Offset,64-bit,CPU clocks,IPC,DC miss rate,DTLB L1M L2M rate,Misalign rate,Mispredict rate,
"0x230ce230","IUnitEntity::GetAnim","","1684","0.96","0","0","0","0.01",
"0x2303d1e0","IUnitEntity::IsIsolated","","1217","1.08","0","0","0","0.02",
"0x23028560","IEntityTool::GetLevel","","1002","0.96","0","0","0","0.01",
"0x2309c040","CPlayer::CanSee","","910","0.27","0.07","0","0","0.03",
"0x2301adc0","IUnitDefinition::GetModel","","804","0.23","0.05","0.02","0","0.01",
"0x23027640","IEntityTool::GetMaxLevel","","696","0.76","0.01","0","0","0.01",
"0x23029800","ISlaveEntity::GetIsolated","","652","0.89","0.01","0","0","0",
"0x23027420","IEntityTool::IsActive","","625","0.82","0.01","0","0","0.02",
"0x230cdb00","IUnitEntity::Interpolate","","585","0.2","0.16","0.01","0","0",
"0x230ce190","IUnitEntity::GetAnimSequence","","480","1.08","0","0","0","0.01",
"0x2301ad40","IUnitEntity::GetModel","","465","0.24","0.04","0.01","0","0.02",
"0x230cafe0","IVisualEntity::Interpolate","","446","0.39","0.07","0","0","0",
"0x23020a80","IUnitEntity::IsRevealed","","438","1.09","0","0","0","0",
"0x2301a3e0","IUnitDefinition::GetPreGlobalScale","","427","0.31","0.02","0.02","0.01","0.01",
"0x2301a350","IUnitEntity::GetPreGlobalScale","","406","0.31","0.04","0","0.01","0.01",
"0x23033800","IEntityState::IsActive","","276","0.46","0.02","0","0","0.06",
"0x2301cc50","IHeroEntity::GetLevel","","274","0.37","0.01","0","0.01","0.02",
"0x23012c00","CAxis::Set","","268","0.32","0","0","0","0.01",
"0x23027650","IEntityTool::GetBaseLevel","","251","1.13","0","0","0","0",
"0x230bde90","CGameEvent::SynchWithEntity","","225","0.3","0.07","0.02","0.01","0.01",
"0x230cf0b0","IUnitEntity::Copy","","220","0.34","0.08","0","0","0.01",
"0x230ce120","IUnitEntity::GetAnimSpeed","","216","0.82","0","0","0","0.01",
"0x2302d1d0","ISlaveEntity::GetLevel","","209","0.62","0","0","0","0.03",
"0x230be190","CGameEvent::AddToScene","","207","0.62","0.01","0","0","0.02",
"0x230cb110","IVisualEntity::Copy","","202","0.21","0.15","0","0","0",
"0x23029860","ISlaveDefinition::GetIsolated","","199","1.01","0","0","0","0",
"0x2301a730","IUnitDefinition::GetModelScale","","196","0.62","0.01","0.01","0.01","0.01",
"0x230cb5e0","IVisualEntity::DrawOnMap","","186","1.22","0","0","0","0.01",
"0x230d0b00","IUnitEntity::AddToScene","","177","0.46","0.03","0","0","0.02",
"0x230f2760","CEventDirectory::Frame","","166","0.16","0.05","0.02","0","0.02",
"0x23095900","CPlayer::GetDisconnectTime","","144","0.57","0.01","0","0","0.02",
"0x230e5d50","CVisibilityMap::FillBitmap","","144","2.06","0","0","0","0",
"0x230149c0","std::_Tree<std::_Tmap_traits<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,CDynamicEntityAllocator,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::allocator<std::pair<std::basic_string<char,std::cha","","134","0.25","0.03","0.02","0","0.04",
"0x2300c4e0","IUnitEntity::GetUnitwalking","","133","0.84","0.02","0","0","0",
"0x230ceb50","IUnitEntity::GetMapIconColor","","123","0.32","0.03","0","0","0.02",
"0x23011d70","IUnitEntity::GetBaseScale","","118","1.22","0","0","0.05","0",
"0x230cfc60","IUnitEntity::Link","","118","0.47","0.07","0","0.01","0.01",
"0x2302c7e0","ISlaveEntity::GetIntelligence","","116","0.74","0","0","0.02","0.01",
"0x23013860","std::_Tree<std::_Tmap_traits<unsigned short,IEntityAllocator *,std::less<unsigned short>,std::allocator<std::pair<unsigned short const ,IEntityAllocator *> >,0> >::find","","114","0.55","0","0.01","0","0.02",
"0x2303bef0","std::_Tree<std::_Tmap_traits<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,float,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std","","110","0.38","0.02","0.01","0","0.03",
"0x2302cac0","ISlaveEntity::GetStrength","","107","0.72","0.01","0","0.02","0.02",
"0x2301c5f0","IHeroEntity::GetAsHero","","102","0.52","0.03","0","0","0.01",
"0x2301a6a0","IUnitEntity::GetModelScale","","99","1.1","0.01","0","0.02","0",
