CS:EIP,Symbol + Offset,64-bit,CPU clocks,IPC,DC miss rate,DTLB L1M L2M rate,Misalign rate,Mispredict rate,
"0x1520ef90","M_AABBOnPlaneSide","","3669","0.93","0.01","0","0","0",
"0x15134870","CWorldTreeNode::UpdateBounds","","3490","0.91","0.01","0","0","0",
"0x151f6e10","IResourceLibrary::Get","","3348","0.61","0.01","0","0","0",
"0x15212460","I_MovingBoundsSurfaceIntersect","","3343","0.8","0","0","0","0.01",
"0x1524cec0","CSimpleEmitter::Update","","3337","0.29","0.05","0","0","0.02",
"0x1515c350","CSimpleParticle::GetBillboard","","3165","0.58","0.03","0","0","0",
"0x150612b0","CTemporalProperty<float>::Lerp","","3133","0.41","0.03","0","0","0.01",
"0x15189000","IWidget::Frame","","2765","0.33","0.02","0.01","0","0.01",
"0x1515c9b0","CSimpleParticle::Update","","2730","0.78","0","0","0","0",
"0x1506d9d0","M_MultiplyMatrix","","2393","0.97","0.01","0","0","0",
"0x1520ddf0","M_CalcAxisExtents","","2345","1.22","0","0","0","0.01",
"0x15211ea0","I_LineDoubleSidedPlaneIntersect","","2219","0.77","0","0","0","0",
"0x15119b40","inner_prod","","2120","1","0","0","0","0",
"0x151521a0","CSkeleton::GetBoneXform","","1924","0.48","0.03","0","0","0.01",
"0x1520e470","M_LerpQuat","","1612","0.42","0.02","0","0","0.01",
"0x1500d690","IWidget::GetCurrentFade","","1595","0.41","0.02","0","0","0.02",
"0x1520d3f0","M_QuatToAxis","","1565","0.76","0","0","0","0",
"0x15049d90","std::_Tree<std::_Tmap_traits<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,IWidget *,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>","","1547","0.2","0.03","0.02","0","0.05",
"0x15137490","CWorldTree::GetEntityHandlesInRegion","","1468","0.2","0.08","0.01","0","0.01",
"0x1512ce80","speex_preprocess_run","","1378","0.44","0","0","0","0.01",
"0x15152d70","CSkeleton::PoseBones","","1356","0.32","0.07","0","0","0",
"0x151f8f10","CResourceManager::Get","","1300","1.04","0.01","0","0","0",
"0x151869d0","IWidget::Render","","1129","0.5","0.05","0.01","0","0.02",
"0x150157c0","CBoundingBox<float>::AddPoint","","1123","1.23","0","0","0","0.02",
"0x151a7bf0","CDraw2D::String","","993","1.05","0","0","0","0.01",
"0x151f8c00","CResourceManager::GetLib","","832","1.46","0","0","0","0",
"0x151f1d80","CSceneManager::AddEntity","","807","0.24","0.08","0","0","0.01",
"0x1501a840","std::vector<CEvaluatorToken *,std::allocator<CEvaluatorToken *> >::empty","","797","0.04","0.32","0.03","0","0.01",
"0x15033b80","std::_Tree<std::_Tmap_traits<unsigned int,SSceneModifierEntry *,std::less<unsigned int>,std::allocator<std::pair<unsigned int const ,SSceneModifierEntry *> >,0> >::find","","786","0.46","0.02","0","0","0.04",
"0x151529a0","CSkeleton::RelativeToWorldRecurse","","769","0.81","0.01","0","0","0.01",
"0x15188430","IWidget::GetWidget","","755","0.28","0.06","0.02","0","0.02",
"0x1518c5a0","IWidget::DoEvent","","713","0.31","0.03","0","0","0.01",
"0x1524c730","CSimpleEmitter::GetBillboard","","704","0.68","0.01","0","0","0",
"0x151873b0","IWidget::ResizeParent","","695","0.39","0.03","0","0","0",
"0x15212950","I_MovingBoundsBoundsIntersect","","681","0.71","0","0","0","0.01",
"0x15015480","TransformPoint","","660","0.85","0","0","0","0",
"0x1518b980","IWidget::RenderWidget","","660","0.69","0","0","0","0.03",
"0x1515e820","CParticleSystem::Update","","653","0.12","0.04","0.02","0","0.04",
"0x151b9ea0","CEntitySnapshot::operator=","","641","0.28","0.07","0.01","0","0",
"0x15255f40","CMeshEmitter::Update","","641","0.34","0.04","0","0","0",
"0x15275990","CConvexHull::GetPoints","","612","0.84","0","0","0","0.01",
"0x15210d60","I_TestXAxis","","554","0.86","0","0","0","0.01",
"0x15013660","CVec3<float>::operator-","","525","1.17","0","0","0","0",
