CS:EIP,Symbol + Offset,64-bit,CPU clocks,IPC,DC miss rate,DTLB L1M L2M rate,Misalign rate,Mispredict rate,
"0x7c4228be","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::compare","","1925","0.97","0","0","0","0.01",
"0x7c422e21","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::compare","","1804","0.45","0.02","0","0","0.01",
"0x7c422b74","std::basic_streambuf<wchar_t,std::char_traits<wchar_t> >::sputc","","1546","1.12","0","0","0","0",
"0x7c4233a2","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Grow","","1377","0.9","0","0","0","0",
"0x7c42296c","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Eos","","1259","0.85","0","0","0","0.04",
"0x7c422ed9","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Tidy","","921","0.68","0","0","0","0.04",
"0x7c4238cf","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign","","921","0.92","0","0","0","0.01",
"0x7c423cf5","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::insert","","662","1.36","0","0","0","0.02",
"0x7c423881","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","","594","1.44","0","0","0","0",
"0x7c422c74","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::begin","","543","1.18","0","0","0","0.02",
"0x7c423c5b","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::insert","","482","1.05","0","0","0","0",
"0x7c42ee89","std::operator<<char,std::char_traits<char>,std::allocator<char> >","","469","0.59","0.01","0","0","0.04",
"0x7c422c94","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::end","","434","1.26","0","0","0","0",
"0x7c42ee14","std::operator==<char,std::char_traits<char>,std::allocator<char> >","","397","0.78","0.01","0","0","0.02",
"0x7c422127","std::basic_streambuf<char,std::char_traits<char> >::setp","","393","1.35","0","0","0","0",
"0x7c422924","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Chassign","","391","1.63","0","0","0","0",
"0x7c422071","std::basic_streambuf<unsigned short,std::char_traits<unsigned short> >::_Gninc","","389","0.95","0","0","0","0.06",
"0x7c423195","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::~basic_string<char,std::char_traits<char>,std::allocator<char> >","","331","0.74","0","0","0","0.02",
"0x7c4211ec","std::char_traits<char>::_Copy_s","","326","1.17","0","0","0","0",
"0x7c424602","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::push_back","","322","1.18","0","0","0","0.01",
"0x7c423961","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign","","289","1.1","0","0","0","0",
"0x7c4231f3","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::erase","","246","1.19","0","0","0","0.02",
"0x7c424a08","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::operator+=","","183","0.96","0","0","0","0.01",
"0x7c421223","std::char_traits<char>::_Move_s","","177","1.08","0","0","0","0",
"0x7c422988","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Inside","","171","1.55","0","0","0","0.01",
"0x7c4229bc","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Pdif","","166","1.01","0","0","0","0",
"0x7c4248c1","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","","162","0.7","0.01","0","0","0.05",
"0x7c425e38","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::operator=","","157","0.82","0","0","0","0.03",
"0x7c423721","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","","149","0.99","0","0","0","0.01",
"0x7c4230f5","std::basic_filebuf<char,std::char_traits<char> >::_Init","","143","1.25","0","0","0","0",
"0x7c4239d3","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign","","141","1.25","0","0","0","0.01",
"0x7c423169","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","","134","0.86","0.01","0","0","0.01",
"0x7c4232c0","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy","","133","0.58","0","0","0","0.03",
"0x7c4249ca","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","","100","0.88","0.01","0","0","0.02",
"0x7c423257","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::clear","","87","1.64","0","0","0","0.01",
"0x7c422c05","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::erase","","82","0.3","0","0","0","0.04",
"0x7c424c20","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::substr","","81","0.74","0","0","0","0.01",
"0x7c421209","std::char_traits<char>::find","","80","1.02","0","0","0","0.01",
"0x7c424821","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","","72","0.92","0","0","0","0",
"0x7c42ee4d","std::operator!=<char,std::char_traits<char>,std::allocator<char> >","","68","0.81","0","0","0","0.04",
"0x7c422783","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::find_first_not_of","","66","1.59","0","0","0","0",
"0x7c42ee3a","std::operator==<char,std::char_traits<char>,std::allocator<char> >","","62","0.87","0","0","0","0",
"0x7c4224d8","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::find","","47","0.36","0","0","0","0.05",
"0x7c425e48","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","","46","0.5","0","0","0","0.04",
"0x7c424905","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","","43","0.51","0.01","0","0","0.04",
"0x7c422e92","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::compare","","40","0.77","0","0","0","0.03",
"0x7c4239f0","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign","","40","0.45","0","0","0","0.01",
"0x7c4227ed","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::find_first_not_of","","36","0.83","0","0","0","0.03",
"0x7c4237c8","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","","35","0.89","0","0","0","0.01",
"0x7c422594","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::find","","29","0.17","0","0","0","0.18",
"0x7c432881","std::operator+<char,std::char_traits<char>,std::allocator<char> >","","24","0.92","0","0","0","0.01",
"0x7c434a4d","std::operator+<char,std::char_traits<char>,std::allocator<char> >","","19","0.16","0","0","0","0.03",
"0x7c432c72","std::basic_string<unsigned short,std::char_traits<unsigned short>,std::allocator<unsigned short> >::swap","","16","0.19","0.07","0","0","0",
"0x7c422cb9","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::rbegin","","13","0.31","0","0","0","0",
"0x7c423864","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","","13","0.69","0","0","0","0.01",
"0x7c434a98","std::operator+<char,std::char_traits<char>,std::allocator<char> >","","10","0.9","0","0","0","0.02",
"0x7c422cde","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::rend","","8","0.88","0","0","0","0.01",
"0x7c4328c8","std::operator+<char,std::char_traits<char>,std::allocator<char> >","","7","0.29","0","0","0","0",
"0x7c434ae3","std::operator+<char,std::char_traits<char>,std::allocator<char> >","","7","0.71","0","0","0","0.02",
"0x7c450729","LDunscale","","4","0.25","0","0","0","0",
"0x7c422573","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::find","","3","0.33","0","0","0","0.1",
"0x7c422762","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::find_last_of","","3","0","0","0","0","0",
"0x7c427e07","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::empty","","3","0","0","0","0","0",
"0x7c4226f3","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::find_last_of","","1","6","0","0","0","0",
"0x7c425dd9","std::ios_base::_Init","","1","0","0","0","0","0",
"0x7c426994","std::basic_filebuf<char,std::char_traits<char> >::imbue","","1","0","0","0","0","0",
"0x7c43374e","std::basic_fstream<char,std::char_traits<char> >::close","","1","0","0","0","0","0",
"0x7c44cb89","std::_Mutex::_Lock","","1","0","0","0","0","0",
"0x7c44cb92","std::_Mutex::_Unlock","","1","0","0","0","0","0",
"0x7c421383","std::locale::facet::_Decref","","0","0","0","0","0","0",
"0x7c4220f6","std::basic_streambuf<wchar_t,std::char_traits<wchar_t> >::_Lock","","0","0","0","0","0","0",
"0x7c422fe1","std::basic_streambuf<char,std::char_traits<char> >::xsputn","","0","0","0","0","0","0",
"0x7c4249f0","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::operator=","","0","0","0","0","0","0",
"0x7c424a03","std::basic_string<char,std::char_traits<char>,std::allocator<char> >::operator+=","","0","0","0","0","0","0",
"0x7c4333b9","std::basic_istream<char,std::char_traits<char> >::seekg","","0","0","0","0","0","0",
"0x7c44c51c","std::_Lockit::~_Lockit","","0","0","0","0","0","0",
