CS:EIP,Symbol + Offset,64-bit,CPU clocks,IPC,DC miss rate,DTLB L1M L2M rate,Misalign rate,Mispredict rate,
"0x7818b750","modf","","7853","0.79","0","0","0","0",
"0x78144fb0","memcpy","","5234","0.73","0.01","0","0","0.01",
"0x781458e6","memcmp","","3916","0.86","0","0","0.02","0.02",
"0x78149f23","$I10_OUTPUT","","3801","1.13","0","0","0.01","0.01",
"0x7814b34f","controlfp","","2434","1.23","0","0","0.01","0",
"0x7818b3a0","floor","","897","0.42","0","0","0","0",
"0x781444d0","strlen","","766","0.68","0","0","0","0.02",
"0x7818042d","memcpy_s","","632","0.97","0","0","0","0.01",
"0x781848c4","sqrt","","578","0.33","0","0","0","0",
"0x7814725b","strnicmp","","523","0.24","0.11","0","0","0.01",
"0x781501cf","strnlen","","514","0.72","0","0","0.02","0.02",
"0x781847c0","CIsin","","326","0.78","0","0","0","0.01",
"0x7818b1c0","ceil","","302","0.38","0","0","0","0",
"0x781492e7","tzset","","289","0.91","0","0","0","0",
"0x78145320","memmove","","245","0.5","0.01","0","0.01","0.02",
"0x78151e2d","fcvt_s","","231","0.7","0","0","0.02","0.02",
"0x7814d49f","atoflt","","223","0.98","0","0","0","0.02",
"0x781849b0","CItan","","203","0.91","0","0","0","0",
"0x781848b0","CIsqrt","","198","0.77","0","0","0.02","0.03",
"0x781804a8","memmove_s","","174","1.93","0","0","0","0",
"0x781513ef","_STRINGTOLD_L","","159","1.43","0","0","0","0.01",
"0x78138c50","_dllonexit","","156","0.8","0","0","0","0.02",
"0x78180380","memchr","","155","0.99","0","0","0","0.03",
"0x78189de5","isnan","","155","0.52","0","0","0.04","0",
"0x7814455b","strcpy_s","","152","1.5","0","0","0","0.01",
"0x78134d09","malloc","","145","0.41","0.02","0.01","0","0.01",
"0x78139387","rand_s","","116","0.22","0","0","0","0.05",
"0x78160e13","operator new","","108","0.33","0.01","0","0","0.05",
"0x78151d83","_STRINGTOLD","","107","0.59","0","0","0.01","0.01",
"0x78134b6c","free","","104","0.46","0","0","0","0.09",
"0x78132cf3","initptd","","83","0.73","0","0","0","0.01",
"0x78132e29","getptd","","83","0.58","0","0","0","0.01",
"0x78184060","CIcos","","73","0.58","0","0","0","0.01",
"0x78183c80","CIacos","","72","0.44","0","0","0","0.03",
"0x7814d25f","tolower","","65","0.62","0","0","0","0.04",
"0x78160e7d","operator delete","","64","0.11","0.03","0","0","0.16",
"0x78151ccc","atof_l","","63","0.71","0.01","0","0","0.02",
"0x78144a20","memset","","62","0.44","0","0","0","0.01",
"0x78189dd0","finite","","56","0.68","0","0","0.02","0",
"0x78136c6b","msize","","47","0.3","0.02","0.01","0","0.02",
"0x7816d5f0","rand","","45","0.91","0","0","0","0",
"0x7818334a","clock","","32","0.84","0","0","0","0.01",
"0x78132c6b","_set_flsgetvalue","","31","0.68","0.02","0","0","0",
"0x78151d75","atof","","26","0.19","0.04","0","0","0.04",
"0x7814cda1","wctomb","","25","0.44","0.02","0","0","0.05",
"0x781819dd","gmtime64_s","","24","0.12","0","0","0","0.03",
"0x7818400a","CIatan2","","22","0.23","0.02","0","0","0",
"0x781841bc","CIexp","","21","0.1","0.05","0","0","0",
"0x78148b66","Strftime","","16","0","0","0","0","0",
"0x78181e8e","localtime64_s","","15","0","0","0","0","0",
"0x78183f20","CIatan","","14","0","0","0","0","0",
"0x78147571","get_daylight","","9","0","0","0","0","0",
"0x78184530","CIpow","","8","0.25","0","0","0","0.05",
"0x7814cffc","strtol","","7","0","0","0","0","0",
"0x781324c4","lock","","6","0","0","0","0","0",
"0x7814c571","atol","","5","0","0","0","0","0",
"0x78137ecd","mbsnbcpy_s_l","","4","0","0","0","0","0",
"0x78144d90","strchr","","4","0","0","0","0","0",
"0x7814da61","is_wctype","","4","0.75","0","0","0","0",
"0x78182857","time64","","4","0.25","0","0","0","0",
"0x78184290","CIlog","","4","1.5","0","0","0","0",
"0x781475d9","get_timezone","","3","0","0","0","0","0",
"0x78151717","mbschr_l","","3","0.33","0","0","0","0",
"0x7818421a","CIfmod","","3","0.33","0","0","0","0",
"0x781517d1","mbschr","","2","0","0","0","0","0",
"0x78144419","strncpy_s","","1","0","0","0","0","0",
"0x781475a5","get_dstbias","","1","0","0","0","0","0",
"0x7814bda9","isalpha","","1","0","0","0","0","0",
"0x7814e74a","isatty","","1","0","0","0","0","0",
"0x78160e87","operator delete[]","","1","0","0","0","0","0",
"0x781657c9","wmktemp","","1","1","0","0","0","0",
"0x78165f68","wopen","","1","0","0","0","0","0",
"0x7816d5e3","srand","","1","0","0","0","0","0",
"0x7817600a","fseek","","1","0","0","0","0","0",
"0x78179e6b","fgetc","","1","0","0","0","0","0",
"0x7817b107","tmpfile_s","","1","2","0","0","0","0",
"0x7818ff73","CRT_RTC_INITW","","1","0","0","0","0","0",
"0x781323ec","unlock","","0","0","0","0","0","0.1",
"0x7814bf13","isdigit","","0","0","0","0","0","0",
"0x7814e631","lseeki64","","0","0","0","0","0","0",
"0x7814ebad","get_osfhandle","","0","0","0","0","0","0",
"0x781782b2","ungetc_nolock","","0","0","0","0","0","0",
