Frames: 33647
Total Bytes: 23423115
Snapshot Header Bytes: 605628
Events: 32769
Event Bytes: 776818
Reliable Game Data Bytes: 306495
Game Data Bytes: 143110
State String Bytes: 0

Name                               Count     Bytes    Header     Flags    Fields
================================================================================
Entity Snapshots                  637756  20109638   2551024   1951156  15607458
Delete                              8834         0     35336         0         0

Building_Academy                    1696     16999      6784      3396      6819
Building_Armory                     1200     12046      4800      2404      4842
Building_Garrison                   3512     37965     14048      7036     16881
Building_GroveMine                  4245     45640     16980      8148     20512
Building_Lair                        158      1616       632       321       663
Building_Monastery                  1201     12049      4804      2406      4839
Building_Nexus                      2360     23705      9440      4728      9537
Building_Sanctuary                  1538     15427      6152      3082      6193
Building_ShieldTower                1503     15118      6012      3010      6096
Building_SiegeWorkshop              1921     19561      7684      3846      8031
Building_SteamMine                  9859    102306     39436     19766     43104
Building_StrataSpire                 906      9101      3624      1816      3661
Building_Stronghold                    6        87        24        15        48
Building_SubLair                    1636     16454      6544      3277      6633
Consumable_AmmoPack                   13       130        52        13        65
Consumable_AmmoSatchel                 4        40        16         4        20
Consumable_Chainmail                  17       170        68        17        85
Consumable_HealthMajor                44       444       176        44       224
Consumable_HealthMinor               182      1661       728       182       751
Consumable_HealthReplenish          1011      9160      4044      1011      4105
Consumable_HealthShrine                6        60        24         6        30
Consumable_ManaMajor                   6        59        24         6        29
Consumable_ManaMinor                   2        20         8         2        10
Consumable_ManaShrine                  4        40        16         4        20
Consumable_Platemail                   9        82        36         9        37
Consumable_SpeedBoost                  8        80        32         8        40
Entity_Chest                           5       175        20         5       150
Entity_ClientInfo                   7060     65778     28240     14302     23236
Entity_GameInfo                        3        43        12         3        28
Entity_NpcController                   4        84        16        12        56
Entity_Soul                         8944    152908     35776      8944    108188
Entity_TeamInfo                    30255    277211    121020     31001    125190
Gadget_AmmoDepot                      34       690       136        84       470
Gadget_DemoCharge                     34       768       136       111       521
Gadget_ElectricEye                    72      1108       288       120       700
Gadget_HealthShrine                    9       112        36        13        63
Gadget_HumanOfficerSpawnFlag          66      1385       264       170       951
Gadget_ManaShrine                      3        54        12         7        35
Gadget_Sentry                        299      3484      1196       379      1909
Gadget_ShieldGenerator                 8       151        32        18       101
Gadget_Venus                        2084     29095      8336      4026     16733
Gun_Crossbow                         269      1991      1076       269       646
Gun_HolyBolt                          55       508       220        55       233
Gun_ImpFire                           34       272       136        34       102
Gun_Launcher                         174      1453       696       174       583
Gun_Lightning                         98       958       392        98       468
Gun_Locusts                          416      3836      1664       416      1756
Gun_Mortar                           323      2646      1292       323      1031
Gun_Ravager                         5078     35651     20312      5078     10261
Gun_Repeater                        1992     14067      7968      1992      4107
Gun_Rifle                            570      4035      2280       570      1185
Gun_Shotgun                           40       339       160        40       139
Gun_SniperBow                         90       752       360        90       302
Gun_Venom                            190      1764       760       190       814
Melee_BattleAxe                       13       104        52        13        39
Melee_BearlothSwipe                   36       288       144        36       108
Melee_Broadswords                     35       280       140        35       105
Melee_ConjurerClaws                   30       240       120        30        90
Melee_Hammer                          15       120        60        15        45
Melee_ShifterClaws                    52       416       208        52       156
Melee_ShortBlades                     36       288       144        36       108
Melee_SpiritHammer                     6        48        24         6        18
Melee_Staff                           11        88        44        11        33
Melee_SummonerStaff                   60       480       240        60       180
Npc_Critter                        13706    270336     54824     27773    187739
OfficerCommand_Attack2               128      1024       512       128       384
OfficerCommand_Follow2               128      1024       512       128       384
OfficerCommand_Move2                 128      1024       512       128       384
Persistant_Item                      574      5453      2296       574      2583
Pet_Bearloth                       29691    624952    118764     65675    440513
Pet_Imp                            23151    518367     92604     61732    364031
PetCommand_Attack                     49       392       196        49       147
PetCommand_Follow                     49       392       196        49       147
PetCommand_Move                       49       392       196        49       147
Player_Chaplain                    16314    648056     65256     66193    516607
Player_Commander                    8804    148909     35216      9128    104565
Player_Conjurer                    34778   1522860    139112    144646   1239102
Player_Engineer                    28977   1167463    115908    105272    946283
Player_Legionnaire                 22388   1018791     89552     92350    836889
Player_Marksman                    58415   2513379    233660    237043   2042676
Player_Observer                      622     13291      2488      2082      8721
Player_Savage                      71097   3162211    284388    283223   2594600
Player_Shaman                       9620    437016     38480     42906    355630
Player_ShapeShifter                61209   2610097    244836    245120   2120141
Player_Steambuchet                  2984    113934     11936     11200     90798
Player_Summoner                    83208   3556566    332832    350119   2873615
Projectile_Arrow                      56      2403       224        56      2123
Projectile_Bolt                      302     13140      1208       302     11630
Projectile_FrostBolt                  75      2871       300        75      2496
Projectile_Grenade                   582     21042      2328       582     18132
Projectile_Holy                       59      2235       236        59      1940
Projectile_ImpFireball               521     19721      2084       521     17116
Projectile_Locust                    501     18485      2004       501     15980
Projectile_NpcShot                    93      4626       372       267      3987
Projectile_Rocket                    123      4275       492       123      3660
Projectile_SiegeFire                  17       625        68        17       540
Projectile_SiegeStone                 19       743        76        19       648
Projectile_VenomSpore               2658     97658     10632      2658     84368
Prop_BaseBuilding                      2        52         8         6        38
Prop_Mine                            724      7346      2896      1449      3001
Prop_Scar                              2        66         8        10        48
Siege_FireBombardment                 17       164        68        17        79
Siege_StoneBombardment                20       191        80        20        91
Skill_AmmoDepot                       24       217        96        24        97
Skill_BackStab                        63       595       252        63       280
Skill_Bash                            18       157        72        18        67
Skill_BeastBuild                      30       240       120        30        90
Skill_Blind                           81       773       324        81       368
Skill_Build                           15       120        60        15        45
Skill_Burrow                        2275     20607      9100      2275      9232
Skill_Cheetah                         69       633       276        69       288
Skill_CriticalStrike                  57       530       228        57       245
Skill_DemoCharge                      55       519       220        55       244
Skill_Disembark                        5        40        20         5        15
Skill_DoubleSwing                     62       583       248        62       273
Skill_ElectricEye                     48       436       192        48       196
Skill_HealingWard                     11       109        44        11        54
Skill_HumanOfficerPortal            3251     29439     13004      3251     13184
Skill_Morale                          48       433       192        48       193
Skill_Rage                            51       472       204        51       217
Skill_Reconstitute                    25       248       100        25       123
Skill_Riposte                         18       165        72        18        75
Skill_Sacrifice                       61       593       244        61       288
Skill_Sentry                          86       782       344        86       352
Skill_ShieldGenerator                 17       146        68        17        61
Skill_Stealth                       1047      9567      4188      1047      4332
Skill_SteamBoost                       9        92        36         9        47
Skill_WhirlingBlade                   24       231        96        24       111
Spell_Attrition                       17       158        68        17        73
Spell_BeastHeal                       18       168        72        18        78
Spell_CommanderCenturionArmor         19       177        76        19        82
Spell_CommanderCripple                10        92        40        10        42
Spell_CommanderDispel                  2        16         8         2         6
Spell_CommanderFear                   18       168        72        18        78
Spell_CommanderHeal                   18       164        72        18        74
Spell_CommanderLifeLeak               11       105        44        11        50
Spell_CommanderResurrect               8        74        32         8        34
Spell_CommanderSpeedBoost             12       110        48        12        50
Spell_Entangle                        13       123        52        13        58
Spell_EntangleTrap                    59       581       236        59       286
Spell_GroupHeal                       29       290       116        29       145
Spell_Heal                            32       301       128        32       141
Spell_HealPet                         71       599       284        71       244
Spell_MindWarp                        18       168        72        18        78
Spell_Polymorph                       62       542       248        62       232
Spell_Reincarnate                      6        48        24         6        18
Spell_Resurrect                       14       123        56        14        53
Spell_SummonBearloth                  97      1009       388        97       524
Spell_SummonImp                       94       906       376        94       436
Spell_Venus                           64       622       256        64       302
State_Attrition                        6        90        24         6        60
State_BeastHeal                       12       180        48        12       120
State_Bleed                           12       180        48        12       120
State_Blind                           22       330        88        22       220
State_Burrowed                         5        55        20         5        30
State_Chainmail                       51       357       204        51       102
State_Cheetah                         18       270        72        18       180
State_CommanderCenturionArmor         40       600       160        40       400
State_CommanderCripple                 8       120        32         8        80
State_CommanderFear                   45       675       180        45       450
State_CommanderHeal                   16       240        64        16       160
State_CommanderLifeLeak                9       135        36         9        90
State_CommanderSpeedBoost             10       150        40        10       100
State_Confused                        12       180        48        12       120
State_Entangled                       33       489       132        33       324
State_GroupHeal                       28       420       112        28       280
State_Heal                            31       465       124        31       310
State_HealingWard                    656      5964      2624       656      2684
State_HealthReplenish                 13       195        52        13       130
State_HealthShrine                    72       654       288        72       294
State_Locust                         352      4740      1408       352      2980
State_ManaShrine                     109      1005       436       109       460
State_Morale                          12       180        48        12       120
State_Morphed                         11       198        44        11       143
State_NpcAbility                      65      1043       260        65       718
State_Officer                         92       644       368        92       184
State_OfficerAura                  51102    461472    204408     51102    205962
State_PersistantItem                 288      2592      1152       288      1152
State_PersistantReplenish             36       612       144        36       432
State_Platemail                       28       196       112        28        56
State_Poisoned                      2141     20049      8564      2141      9344
State_Rage                            16       240        64        16       160
